Analyze with upper bound?[n]Build multiple models?[n]What's the threshold of p-value?[0.05]Allow Early Termination?[n]xmax=inf	_xmin=26552	a=6.4152024826519	D=0.249796073730284	p=1
xmax=inf	_xmin=3931	a=3.00102208130967	D=0.0473234918382997	p=0.75
xmax=inf	_xmin=3922	a=3.00590874948494	D=0.0474840581796483	p=0.86
xmax=inf	_xmin=3905	a=3.00248152160324	D=0.0467977897057906	p=0.88
xmax=inf	_xmin=3862	a=2.97263975819464	D=0.0520415087493029	p=0.7
xmax=inf	_xmin=3860	a=2.98421288569979	D=0.0483944984011683	p=0.85
xmax=inf	_xmin=3854	a=2.99165150841476	D=0.0459826973212284	p=0.85
xmax=inf	_xmin=3851	a=3.01561523367972	D=0.046224418487613	p=0.82
xmax=inf	_xmin=3842	a=3.01961332524812	D=0.046419533141874	p=0.88
xmax=inf	_xmin=3835	a=3.02561250162629	D=0.0470243911196732	p=0.81
xmax=inf	_xmin=3833	a=3.03687103352233	D=0.0484079799443518	p=0.78
xmax=inf	_xmin=3821	a=3.03725458989054	D=0.0481366807853214	p=0.83
xmax=inf	_xmin=3811	a=3.03967573020342	D=0.0481655469706067	p=0.87
xmax=inf	_xmin=3808	a=3.04962416242817	D=0.0492681400907738	p=0.78
xmax=inf	_xmin=3807	a=3.06173396066725	D=0.0506459878990075	p=0.75
xmax=inf	_xmin=3797	a=3.06375388836235	D=0.050591628111608	p=0.69
xmax=inf	_xmin=3794	a=3.07351244305614	D=0.0519212285576229	p=0.73
xmax=inf	_xmin=3761	a=3.04950237717149	D=0.0480595990338979	p=0.85
xmax=inf	_xmin=3735	a=3.0334739997311	D=0.0456703717035309	p=0.84
xmax=inf	_xmin=3733	a=3.04395322888358	D=0.0467074786649853	p=0.79
xmax=inf	_xmin=3723	a=3.04542910307698	D=0.0465931208256008	p=0.81
xmax=inf	_xmin=3709	a=3.06736331358028	D=0.0483069977850354	p=0.74
xmax=inf	_xmin=3694	a=3.06260681160748	D=0.0474576058034011	p=0.84
xmax=inf	_xmin=3691	a=3.07155672156591	D=0.0481770855915944	p=0.77
xmax=inf	_xmin=3684	a=3.07579370041266	D=0.0490537268256534	p=0.66
xmax=inf	_xmin=3680	a=3.08344715564798	D=0.0517482502667655	p=0.65
xmax=inf	_xmin=3671	a=3.0851327250867	D=0.0520833234359101	p=0.64
xmax=inf	_xmin=3659	a=3.08317059853774	D=0.051013436922176	p=0.66
xmax=inf	_xmin=3658	a=3.0941568076724	D=0.0548662962759094	p=0.58
xmax=inf	_xmin=3633	a=3.07650327739486	D=0.0479376839287168	p=0.74
